grp.10  grp.11  grp.12  grp.13  grp.14  grp.15
4.069E+13       4.859E+13       3.842E+13       3.325E+13       4.516E+13       4.046E+15
3.554E+13       4.233E+13       3.342E+13       2.891E+13       3.924E+13       3.679E+15
3.110E+13       3.694E+13       2.911E+13       2.516E+13       3.413E+13       3.342E+15
2.727E+13       3.229E+13       2.540E+13       2.193E+13       2.973E+13       3.034E+15
2.396E+13       2.828E+13       2.220E+13       1.914E+13       2.592E+13       2.752E+15
2.109E+13       2.482E+13       1.944E+13       1.674E+13       2.264E+13       2.494E+15
1.861E+13       2.182E+13       1.705E+13       1.466E+13       1.980E+13       2.258E+15
1.644E+13       1.922E+13       1.499E+13       1.286E+13       1.734E+13       2.044E+15
1.456E+13       1.696E+13       1.319E+13       1.130E+13       1.521E+13       1.848E+15
1.292E+13       1.499E+13       1.164E+13       9.949E+12       1.337E+13       1.669E+15
1.148E+13       1.328E+13       1.028E+13       8.775E+12       1.177E+13       1.506E+15
1.022E+13       1.178E+13       9.101E+12       7.754E+12       1.038E+13       1.357E+15
9.110E+12       1.047E+13       8.070E+12       6.864E+12       9.172E+12       1.222E+15
8.135E+12       9.326E+12       7.170E+12       6.087E+12       8.118E+12       1.098E+15
7.277E+12       8.319E+12       6.381E+12       5.408E+12       7.199E+12       9.853E+14
6.518E+12       7.432E+12       5.689E+12       4.813E+12       6.395E+12       8.820E+14
5.847E+12       6.651E+12       5.081E+12       4.292E+12       5.692E+12       7.874E+14
5.253E+12       5.961E+12       4.546E+12       3.834E+12       5.075E+12       7.005E+14
4.725E+12       5.353E+12       4.074E+12       3.431E+12       4.535E+12       6.205E+14
4.257E+12       4.815E+12       3.659E+12       3.077E+12       4.060E+12       5.466E+14
3.842E+12       4.339E+12       3.293E+12       2.765E+12       3.642E+12       4.780E+14
3.473E+12       3.919E+12       2.969E+12       2.491E+12       3.274E+12       4.141E+14
3.146E+12       3.549E+12       2.684E+12       2.249E+12       2.951E+12       3.541E+14
2.858E+12       3.224E+12       2.433E+12       2.036E+12       2.665E+12       2.975E+14
2.605E+12       2.940E+12       2.211E+12       1.848E+12       2.413E+12       2.434E+14
2.385E+12       2.694E+12       2.016E+12       1.684E+12       2.191E+12       1.918E+14
2.195E+12       2.488E+12       1.842E+12       1.541E+12       1.992E+12       1.391E+14
1.875E+12       2.107E+12       1.528E+12       1.287E+12       1.635E+12       7.548E+13
1.403E+12       1.535E+12       1.090E+12       9.258E+11       1.148E+12       2.899E+13
9.547E+11       1.015E+12       7.155E+11       6.100E+11       7.453E+11       1.222E+13
4.927E+11       5.066E+11       3.603E+11       3.083E+11       3.724E+11       4.144E+12
